sweep delta
13231 0.7563787768012844
13261 0.7513159342779545
13291 0.7462869800438057
13321 0.7412916872417554
13351 0.7363298305863282
13381 0.7314011862617917
13411 0.7265055319439853
13441 0.721642646829423
13471 0.7168123115698108
13501 0.7120143082938739
13531 0.707248420585529
13561 0.7025144334838842
13591 0.6978121334541356
13621 0.6931413084093947
13651 0.6885017476452049
13681 0.683893241934129
13711 0.6793155833802302
13741 0.6747685654991074
13771 0.6702519832106191
13801 0.6657656328025041
13831 0.6613093119012774
13861 0.6568828195158858
13891 0.6524859559722245
13921 0.6481185229495168
13951 0.6437803234803141
13981 0.6394711618559086
14011 0.6351908437354723
14041 0.630939176044194
14071 0.6267159670096589
14101 0.6225210261327447
14131 0.6183541642167256
14161 0.6142151933090645
14191 0.6101039267159649
14221 0.6060201790023712
14251 0.6019637659701402
14281 0.597934504658042
14311 0.5939322133053793
14341 0.5899567114101956
14371 0.5860078196492395
14401 0.5820853598997928
14431 0.578189155254222
14461 0.5743190299544949
14491 0.5704748094431125
14521 0.5666563203412807
14551 0.562863390397979
14581 0.5590958485408919
14611 0.5553535248254775
14641 0.5516362504567951
14671 0.5479438577749534
14701 0.5442761802187306
14731 0.5406330523692304
14761 0.5370143099062261
14791 0.5334197895863326
14821 0.5298493292939384
14851 0.5263027679684456
14881 0.522779945662478
14911 0.5192807034691214
14941 0.5158048835291993
14971 0.5123523291040328
15001 0.5089228844517493
15031 0.5055163948854897
15061 0.5021327067370294
15091 0.4987716674077092
15121 0.49543312528840033
15151 0.4921169297886081
15181 0.48882293134374777
15211 0.48555098137876485
15241 0.4823009322863072
15271 0.47907263749220874
15301 0.4758659513827297
15331 0.47268072931910865
15361 0.4695168276230106
15391 0.4663741035910789
15421 0.46325241547310725
15451 0.46015162246476393
15481 0.45707158469303977
15511 0.454012163245352
15541 0.4509732201258885
15571 0.4479546182556078
15601 0.4449562214795151
15631 0.44197789454483427
15661 0.43901950314466376
15691 0.4360809138015611
15721 0.4331619939985103
15751 0.4302626120625064
15781 0.4273826372300391
15811 0.42452193958160933
15841 0.4216803900926607
15871 0.41885786059719976
15901 0.4160542237877962
15931 0.41326935318647884
15961 0.41050312320294324
15991 0.40775540905451635
16021 0.4050260868098121
16051 0.4023150333596277
16081 0.3996221264169435
16111 0.396947244531475
16141 0.39429026703874115
16171 0.39165107409644406
16201 0.3890295466699172
16231 0.38642556651029736
16261 0.38383901616180083
16291 0.3812697789617232
16321 0.3787177390186116
16351 0.37618278123409254
16381 0.37366479125921614
16411 0.3711636555090081
16441 0.3686792612061254
16471 0.36621149624261307
16501 0.3637602493399754
16531 0.3613254099327605
16561 0.3589068681758363
16591 0.35650451501714997
16621 0.35411824205948506
16651 0.3517479416914284
16681 0.3493935070000589
16711 0.3470548317854991
16741 0.3447318105463637
16771 0.3424243385234149
16801 0.3401323116195272
16831 0.33785562647972256
16861 0.3355941803820315
16891 0.3333478713320801
16921 0.3311165980339865
16951 0.3289002598176012
16981 0.3266987567185424
17011 0.3245119894418167
17041 0.32233985935454257
17071 0.32018226848595077
17101 0.3180391195055563
17131 0.31591031576681416
17161 0.3137957612198079
17191 0.311695360505837
17221 0.3096090188846574
17251 0.3075366422490333
17281 0.3054781371174613
17311 0.3034334106632741
17341 0.3014023706273292
17371 0.2993849254271481
17401 0.297380984047777
17431 0.29539045610727044
17461 0.2934132518203114
17491 0.2914492820054875
17521 0.28949845807801466
17551 0.2875606920424616
17581 0.2856358965000254
17611 0.28372398463397985
17641 0.2818248702023993
17671 0.2799384675381589
17701 0.2780646915634861
17731 0.27620345777540933
17761 0.27435468218754977
17791 0.272518281446537
17821 0.27069417270831764
17851 0.26888227368181106
17881 0.26708250265801325
17911 0.2652947784445132
17941 0.2635190204164246
17971 0.261755148487282
18001 0.26000308307266096
18031 0.25826274515566183
18061 0.2565340562359779
18091 0.25481693835172337
18121 0.2531113140430534
18151 0.25141710638126824
18181 0.24973423893243307
18211 0.24806263581558596
18241 0.24640222161542624
18271 0.24475292144779814
18301 0.24311466091603506
18331 0.24148736613278743
18361 0.2398709636836429
18391 0.23826538067078218
18421 0.2366705446765991
18451 0.23508638376370072
18481 0.23351282647490734
18511 0.23194980183325242
18541 0.23039723933470668
18571 0.22885506896273
18601 0.2273232211591676
18631 0.22580162681697402
18661 0.22429021730204113
18691 0.22278892444592202
18721 0.22129768056038301
18751 0.21981641833554022
18781 0.21834507097082678
18811 0.21688357213133713
18841 0.2154318558750674
18871 0.21398985671112314
18901 0.2125575096142711
18931 0.21113474997400772
18961 0.20972151362366276
18991 0.20831773678946774
19021 0.2069233561924193
19051 0.20553830891731195
19081 0.2041625324927736
19111 0.20279596486216178
19141 0.20143854439083952
19171 0.20009020985889947
19201 0.19875090043206
19231 0.1974205557271489
19261 0.19609911571023986
19291 0.19478652078396408
19321 0.1934827117511304
19351 0.19218762981472537
19381 0.19090121652698144
19411 0.18962341389851645
19441 0.18835416426009033
19471 0.18709341038629645
19501 0.1858410954082501
19531 0.18459716283541638
19561 0.18336155655561015
19591 0.182134220849548
19621 0.18091510033991653
19651 0.17970414004958002
19681 0.17850128535792464
19711 0.17730648200085852
19741 0.17611967610719148
19771 0.17494081413315143
19801 0.17376984288421227
19831 0.17260670958057744
19861 0.1714513617407647
19891 0.17030374724708963
19921 0.1691638143529417
19951 0.16803151162457652
19981 0.16690678799932357
20011 0.1657895927419304
20041 0.1646798754518386
20071 0.16357758609956363
20101 0.1624826749539352
20131 0.16139509261847707
20161 0.16031479004595894
20191 0.1592417185092927
20221 0.15817582960880827
20251 0.15711707526497776
20281 0.15606540772569133
20311 0.15502077955170535
20341 0.1539831436239183
20371 0.15295245313609485
20401 0.15192866161669372
20431 0.15091172286338406
20461 0.14990159102308098
20491 0.148898220519186
20521 0.14790156611707062
20551 0.14691158283676486
20581 0.14592822604754474
20611 0.14495145139517263
20641 0.14398121478006942
20671 0.14301747249555774
20701 0.142060181038687
20731 0.1411092972412007
20761 0.14016477821132867
20791 0.13922658134106314
20821 0.13829466432071058
20851 0.13736898511706386
20881 0.13644950196612626
20911 0.1355361734094913
20941 0.13462895823613508
20971 0.1337278155333479
21001 0.13283270465763053
21031 0.13194358522741823
21061 0.13106041715218453
21091 0.13018316058150958
21121 0.12931177594873589
21151 0.12844622395641636
21181 0.12758646556176245
21211 0.12673246198392007
21241 0.12588417470396962
21271 0.12504156545037404
21301 0.12420459623535862
21331 0.1233732292894274
21361 0.12254742712684674
21391 0.12172715249471366
21421 0.1209123683947837
21451 0.12010303806164302
21481 0.11929912501364015
21511 0.11850059298740234
21541 0.11770740595238749
21571 0.11691952813998796
21601 0.11613692399987485
21631 0.1153595582509297
21661 0.11458739581576083
21691 0.11382040186435916
21721 0.11305854182865005
21751 0.11230178130790591
21781 0.1115500861997134
21811 0.11080342257628217
21841 0.11006175675720442
21871 0.10932505531673087
21901 0.1085932849891833
21931 0.10786641279992182
21961 0.10714440594165353
21991 0.10642723186174408
22021 0.1057148582112859
22051 0.1050072528378223
22081 0.10430438385810703
22111 0.10360621954896487
22141 0.10291272841277532
22171 0.10222387918474851
22201 0.10153964078926947
22231 0.10085998236900195
22261 0.10018487324850867
22291 0.09951428298518294
22321 0.09884818135469686
22351 0.0981865382855176
22381 0.09752932394621894
22411 0.0968765086872736
22441 0.09622806306288112
22471 0.09558395781641593
22501 0.09494416392408311
22531 0.0943086525076069
22561 0.09367739489971427
22591 0.09305036263685906
22621 0.09242752743011806
22651 0.09180886117974296
22681 0.09119433600426419
22711 0.09058392416045535
22741 0.08997759813064476
22771 0.08937533056450775
22801 0.08877709428634262
22831 0.08818286231689854
22861 0.08759260785882361
22891 0.08700630428211298
22921 0.08642392515321262
22951 0.08584544418408768
22981 0.08527083530498203
23011 0.08470007257710677
23041 0.08413313027995173
23071 0.08356998280942207
23101 0.0830106047942536
23131 0.08245497098687338
23161 0.0819030563288834
23191 0.08135483592923265
23221 0.08081028505694121
23251 0.08026937914837617
23281 0.07973209381452762
23311 0.07919840481190477
23341 0.07866828807163984
23371 0.0781417196849361
23401 0.07761867588851601
23431 0.07709913312282879
23461 0.07658306791563518
23491 0.07607045699842274
23521 0.07556127727002604
23551 0.07505550574569497
23581 0.07455311961530242
23611 0.07405409622879233
23641 0.07355841305979993
23671 0.07306604775658343
23701 0.0725769781274721
23731 0.07209118208265863
23761 0.07160863773606252
23791 0.07112932331801858
23821 0.07065321720438078
23851 0.07018029791652225
23881 0.06971054412861122
23911 0.06924393466033507
23941 0.06878044844052056
23971 0.06832006458716933
24001 0.06786276230559452
24031 0.06740852101938799
24061 0.06695732018852141
24091 0.06650913949124515
24121 0.06606395871494897
24151 0.06562175774888601
24181 0.0651825166787603
24211 0.06474621567758732
24241 0.06431283507845365
24271 0.06388235530175734
24301 0.06345475697889924
24331 0.06303002078493591
24361 0.06260812757682288
24391 0.06218905832065502
24421 0.06177279412077041
24451 0.061359316190646496
24481 0.06094860589655582
24511 0.060540644692082424
24541 0.06013541418360546
24571 0.05973289611574728
24601 0.0593330723058898
24631 0.058935924724210054
24661 0.05854143545002444
24691 0.058149586722720414
24721 0.05776036083261715
24751 0.0573737402446568
24781 0.056989707503817044
24811 0.05660824530059472
24841 0.05622933642735006
24871 0.055852963792858645
24901 0.05547911041503539
24931 0.055107759435486514
24961 0.05473889411223354
24991 0.05437249778333353
25021 0.05400855394691462
25051 0.05364704618114047
25081 0.05328795817331411
25111 0.05293127373442985
25141 0.05257697677006945
25171 0.052225051302229986
25201 0.05187548146932386
25231 0.051528251482523046
25261 0.05118334568396676
25291 0.05084074851765763
25321 0.05050044454401359
25351 0.050162418410764076
25381 0.04982665486750193
25411 0.04949313875113148
25441 0.04916185504407622
25471 0.048832788786967285
25501 0.04850592515140306
25531 0.04818124937446555
25561 0.047858746838755906
25591 0.04753840297780698
25621 0.047220203348842915
25651 0.046904133589123376
25681 0.04659017946687527
25711 0.04627832678670529
25741 0.045968561513291206
25771 0.045660869662242476
25801 0.045355237351031974
25831 0.04505165079899598
25861 0.04475009631278226
25891 0.04445056029362604
25921 0.044153029230074026
25951 0.043857489683432505
25981 0.04356392835325096
26011 0.043272331975458656
26041 0.0429826874169521
26071 0.042694981588283554
26101 0.042409201530972496
26131 0.042125334359297995
26161 0.04184336726029869
26191 0.04156328750104876
26221 0.04128508247958962
26251 0.041008739615790546
26281 0.04073424647503998
26311 0.04046159065910615
26341 0.04019075986434473
26371 0.03992174188897479
26401 0.03965452458942309
26431 0.03938909592397977
26461 0.039125443901866674
26491 0.038863556655996945
26521 0.03860342234838754
26551 0.03834502925747074
26581 0.038088365727162454
26611 0.03783342019596603
26641 0.037580181131488644
26671 0.03732863713958068
26701 0.03707877685519634
26731 0.03683058902970515
26761 0.036584062450856436
26791 0.036339186000986956
26821 0.03609594864974497
26851 0.03585433940315852
26881 0.03561434737639502
26911 0.03537596174282953
26941 0.03513917175587267
26971 0.034903966734418646
27001 0.03467033604829339
27031 0.03443826918373816
27061 0.03420775566337397
27091 0.03397878509713337
27121 0.03375134714588057
27151 0.03352543155779131
27181 0.033301028146524914
27211 0.03307812678394839
27241 0.03285671740741236
27271 0.03263679005613085
27301 0.032418334783869796
27331 0.03220134174625855
27361 0.03198580116441008
27391 0.031771703317645006
27421 0.03155903853621567
27451 0.03134779721585801
27481 0.031137969868723303
27511 0.030929546992410906
27541 0.030722519200935494
27571 0.03051687715924345
27601 0.030312611590488814
27631 0.03010971327603329
27661 0.0299081730627222
27691 0.029707981870160438
27721 0.02950913066160865
27751 0.029311610473087057
27781 0.02911541238427162
27811 0.0289205275621498
27841 0.028726947195536923
27871 0.028534662575111724
27901 0.028343665013380814
27931 0.028153945895610377
27961 0.02796549666527426
27991 0.02777830883860588
28021 0.02759237394639058
28051 0.0274076836212771
28081 0.027224229525018018
28111 0.027042003377573565
28141 0.026860996971663553
28171 0.026681202136387583
28201 0.02650261076632887
28231 0.026325214792450424
28261 0.026149006240302697
28291 0.025973977128160186
28321 0.02580011959071271
28351 0.02562742576265009
28381 0.025455887873249594
28411 0.02528549817361636
28441 0.02511624898761511
28471 0.024948132675490342
28501 0.024781141641142312
28531 0.02461526837578276
28561 0.024450505392451305
28591 0.024286845247843303
28621 0.024124280564137734
28651 0.02396280402172124
28681 0.023802408322808333
28711 0.0236430862423731
28741 0.023484830577217508
28771 0.02332763420417905
28801 0.023171490043750964
28831 0.023016391016426496
28861 0.022862330159114208
28891 0.022709300508722663
28921 0.022557295167644043
28951 0.022406307281926274
28981 0.02225633004854899
29011 0.022107356671767775
29041 0.021959380464977585
29071 0.02181239474157337
29101 0.021666392858605832
29131 0.021521368245885242
29161 0.02137731437687762
29191 0.02123422471777303
29221 0.021092092836624943
29251 0.020950912323314697
29281 0.02081067681137938
29311 0.020671379963459913
29341 0.020533015500404872
29371 0.02039557719399454
29401 0.0202590588160092
29431 0.0201234542473685
29461 0.019988757339888252
29491 0.019854962032695767
29521 0.01972206229402218
29551 0.019590052106650546
29581 0.019458925555227324
29611 0.019328676688019186
29641 0.019199299647880252
29671 0.01907078859221656
29701 0.018943137736641802
29731 0.018816341311321594
29761 0.018690393611905165
29791 0.018565288941317704
29821 0.0184410216534161
29851 0.01831758616026491
29881 0.01819497688120464
29911 0.018073188301059417
29941 0.01795221491192933
29971 0.01783205125684617
30001 0.017712691929773428
30031 0.017594131524674594
30061 0.017476364715548698
30091 0.017359386169118807
30121 0.01724319063941948
30151 0.01712777285138145
30181 0.017013127624522895
30211 0.01689924977836199
30241 0.016786134183348622
30271 0.016673775724484585
30301 0.016562169330427423
30331 0.01645130998804234
30361 0.016341192691470496
30391 0.016231812463956885
30421 0.016123164365126286
30451 0.01601524351281114
30481 0.015908045032119844
30511 0.015801564091816545
30541 0.015695795882493258
30571 0.015590735631121788
30601 0.01548637860105373
30631 0.01538272009929642
30661 0.015279755425581243
30691 0.015177479952399153
30721 0.015075889066793025
30751 0.01497497818490956
30781 0.014874742744723335
30811 0.014775178235140629
30841 0.014676280174171552
30871 0.014578044079826213
30901 0.014480465535598341
30931 0.014383540132257622
30961 0.014287263504229486
30991 0.014191631307767238
31021 0.014096639220952056
31051 0.014002282980072778
31081 0.013908558299590368
31111 0.013815460974001326
31141 0.013722986805078108
31171 0.013631131601869129
31201 0.01353989123890642
31231 0.013449261605273932
31261 0.013359238590055611
31291 0.013269818155094981
31321 0.013180996262235567
31351 0.013092768887872808
31381 0.013005132073885761
31411 0.012918081862153485
31441 0.012831614323658869
31471 0.012745725551212672
31501 0.012660411681281403
31531 0.012575668857607525
31561 0.012491493267589249
31591 0.012407881105900742
31621 0.012324828610871918
31651 0.012242332028108649
31681 0.012160387632320635
31711 0.012078991734597366
31741 0.011998140660580248
31771 0.01191783077956643
31801 0.011838058446301147
31831 0.011758820059185382
31861 0.011680112074827775
31891 0.011601930913457181
31921 0.011524273075337987
31951 0.011447135024354793
31981 0.011370513297151774
32011 0.011294404459476937
32041 0.011218805040698498
32071 0.011143711650220212
32101 0.011069120904721785
32131 0.010995029442710802
32161 0.010921433902694844
32191 0.010848330974113196
32221 0.010775717368233018
32251 0.010703589810873382
32281 0.01063194503512932
32311 0.010560779803199694
32341 0.010490090928215068
32371 0.010419875208754092
32401 0.01035012949432712
32431 0.010280850605340675
32461 0.010212035442236811
32491 0.010143680898181628
32521 0.010075783888169099
32551 0.010008341341745108
32581 0.00994135023211129
32611 0.009874807532469276
32641 0.009808710223296657
32671 0.009743055350554641
32701 0.009677839938376565
32731 0.00961306104727555
32761 0.009548715745040681
32791 0.009484801150392741
32821 0.009421314374776557
32851 0.009358252544188872
32881 0.009295612813730258
32911 0.00923339236760512
32941 0.009171588404569775
32971 0.009110198123380542
33001 0.009049218744621612
33031 0.008988647554360796
33061 0.008928481780458242
33091 0.008868718752637506
33121 0.008809355727862567
33151 0.008750390057684854
33181 0.00869181907910388
33211 0.008633640143671073
33241 0.008575850632041693
33271 0.008518447924870998
33301 0.008461429461021908
33331 0.008404792650253512
33361 0.00834853493142873
33391 0.008292653772514313
33421 0.008237146670580842
33451 0.00818201110814698
33481 0.00812724458228331
33511 0.008072844640992116
33541 0.008018808824999724
33571 0.007965134711412247
33601 0.007911819862783886
33631 0.007858861863496713
33661 0.007806258356140461
33691 0.0077540069542010315
33721 0.007702105285716243
33751 0.007650551036931574
33781 0.007599341857712716
33811 0.0075484754488570616
33841 0.007497949511162005
33871 0.007447761774528772
33901 0.0073979099834105
33931 0.0073483918531564996
33961 0.007299205186427571
33991 0.007250347749504726
34021 0.007201817352324724
34051 0.00715361178299645
34081 0.007105728880560491
34111 0.007058166491333395
34141 0.00701092245435575
34171 0.006963994645047933
34201 0.006917380960658193
34231 0.006871079269330949
34261 0.006825087511970196
34291 0.006779403593100142
34321 0.0067340254681766964
34351 0.006688951078103855
34381 0.006644178392889444
34411 0.0065997054043691605
34441 0.006555530089826789
34471 0.006511650470201857
34501 0.00646806455188198
34531 0.006424770377634559
34561 0.006381765997502953
34591 0.006339049476082437
34621 0.006296618870692328
34651 0.0062544722750317305
34681 0.006212607797351666
34711 0.006171023524075281
34741 0.006129717607109342
34771 0.006088688169256784
34801 0.006047933362424374
34831 0.006007451345794834
34861 0.00596724030765472
34891 0.005927298421738669
34921 0.005887623876333237
34951 0.005848214910656679
34981 0.0058090697129955515
35011 0.005770186537120026
35041 0.005731563636800274
35071 0.0056931992585305125
35101 0.00565509166335687
35131 0.005617239155981224
35161 0.005579640004725661
